location ,depth,transect,photo,group,successes,failures
north,md,t1,t1_1,abiotic,0,100
north,md,t1,t1_1,biotic,0,100
north,md,t1,t1_1,macro,8,92
north,md,t1,t1_1,non-reef,27,73
north,md,t1,t1_1,plob,42,58
north,md,t1,t1_1,poci,5,95
north,md,t1,t1_1,turf,18,82
north,md,t1,t1_10,abiotic,0,100
north,md,t1,t1_10,biotic,0,100
north,md,t1,t1_10,macro,8,92
north,md,t1,t1_10,non-reef,19,81
north,md,t1,t1_10,plob,72,28
north,md,t1,t1_10,poci,0,100
north,md,t1,t1_10,turf,1,99
north,md,t1,t1_11,abiotic,0,100
north,md,t1,t1_11,biotic,0,100
north,md,t1,t1_11,macro,1,99
north,md,t1,t1_11,non-reef,28,72
north,md,t1,t1_11,plob,70,30
north,md,t1,t1_11,poci,0,100
north,md,t1,t1_11,turf,1,99
north,md,t1,t1_12,abiotic,0,100
north,md,t1,t1_12,biotic,0,100
north,md,t1,t1_12,macro,6,94
north,md,t1,t1_12,non-reef,9,91
north,md,t1,t1_12,plob,85,15
north,md,t1,t1_12,poci,0,100
north,md,t1,t1_12,turf,0,100
north,md,t1,t1_13,abiotic,0,100
north,md,t1,t1_13,biotic,0,100
north,md,t1,t1_13,macro,11,89
north,md,t1,t1_13,non-reef,13,87
north,md,t1,t1_13,plob,76,24
north,md,t1,t1_13,poci,0,100
north,md,t1,t1_13,turf,0,100
north,md,t1,t1_14,abiotic,0,100
north,md,t1,t1_14,biotic,0,100
north,md,t1,t1_14,macro,18,82
north,md,t1,t1_14,non-reef,12,88
north,md,t1,t1_14,plob,59,41
north,md,t1,t1_14,poci,0,100
north,md,t1,t1_14,turf,11,89
north,md,t1,t1_15,abiotic,0,100
north,md,t1,t1_15,biotic,0,100
north,md,t1,t1_15,macro,9,91
north,md,t1,t1_15,non-reef,16,84
north,md,t1,t1_15,plob,75,25
north,md,t1,t1_15,poci,0,100
north,md,t1,t1_15,turf,0,100
north,md,t1,t1_2,abiotic,0,100
north,md,t1,t1_2,biotic,0,100
north,md,t1,t1_2,macro,7,93
north,md,t1,t1_2,non-reef,59,41
north,md,t1,t1_2,plob,25,75
north,md,t1,t1_2,poci,7,93
north,md,t1,t1_2,turf,2,98
north,md,t1,t1_3,abiotic,0,100
north,md,t1,t1_3,biotic,0,100
north,md,t1,t1_3,macro,12,88
north,md,t1,t1_3,non-reef,23,77
north,md,t1,t1_3,plob,48,52
north,md,t1,t1_3,poci,0,100
north,md,t1,t1_3,turf,17,83
north,md,t1,t1_4,abiotic,0,100
north,md,t1,t1_4,biotic,0,100
north,md,t1,t1_4,macro,12,88
north,md,t1,t1_4,non-reef,20,80
north,md,t1,t1_4,plob,65,35
north,md,t1,t1_4,poci,0,100
north,md,t1,t1_4,turf,3,97
north,md,t1,t1_5,abiotic,0,100
north,md,t1,t1_5,biotic,0,100
north,md,t1,t1_5,macro,8,92
north,md,t1,t1_5,non-reef,23,77
north,md,t1,t1_5,plob,68,32
north,md,t1,t1_5,poci,0,100
north,md,t1,t1_5,turf,1,99
north,md,t1,t1_6,abiotic,0,100
north,md,t1,t1_6,biotic,0,100
north,md,t1,t1_6,macro,10,90
north,md,t1,t1_6,non-reef,26,74
north,md,t1,t1_6,plob,64,36
north,md,t1,t1_6,poci,0,100
north,md,t1,t1_6,turf,0,100
north,md,t1,t1_7,abiotic,0,100
north,md,t1,t1_7,biotic,0,100
north,md,t1,t1_7,macro,3,97
north,md,t1,t1_7,non-reef,15,85
north,md,t1,t1_7,plob,80,20
north,md,t1,t1_7,poci,0,100
north,md,t1,t1_7,turf,2,98
north,md,t1,t1_8,abiotic,0,100
north,md,t1,t1_8,biotic,0,100
north,md,t1,t1_8,macro,4,96
north,md,t1,t1_8,non-reef,9,91
north,md,t1,t1_8,plob,86,14
north,md,t1,t1_8,poci,0,100
north,md,t1,t1_8,turf,1,99
north,md,t1,t1_9,abiotic,0,100
north,md,t1,t1_9,biotic,0,100
north,md,t1,t1_9,macro,2,98
north,md,t1,t1_9,non-reef,21,79
north,md,t1,t1_9,plob,77,23
north,md,t1,t1_9,poci,0,100
north,md,t1,t1_9,turf,0,100
north,md,t2,t2_1,abiotic,0,100
north,md,t2,t2_1,biotic,0,100
north,md,t2,t2_1,macro,7,93
north,md,t2,t2_1,non-reef,11,89
north,md,t2,t2_1,plob,71,29
north,md,t2,t2_1,poci,3,97
north,md,t2,t2_1,turf,0,100
north,md,t2,t2_10,abiotic,0,100
north,md,t2,t2_10,biotic,0,100
north,md,t2,t2_10,macro,0,100
north,md,t2,t2_10,non-reef,11,89
north,md,t2,t2_10,plob,70,30
north,md,t2,t2_10,poci,0,100
north,md,t2,t2_10,turf,0,100
north,md,t2,t2_11,abiotic,0,100
north,md,t2,t2_11,biotic,0,100
north,md,t2,t2_11,macro,11,89
north,md,t2,t2_11,non-reef,2,98
north,md,t2,t2_11,plob,78,22
north,md,t2,t2_11,poci,3,97
north,md,t2,t2_11,turf,1,99
north,md,t2,t2_12,abiotic,5,95
north,md,t2,t2_12,biotic,0,100
north,md,t2,t2_12,macro,16,84
north,md,t2,t2_12,non-reef,9,91
north,md,t2,t2_12,plob,73,27
north,md,t2,t2_12,poci,0,100
north,md,t2,t2_12,turf,1,99
north,md,t2,t2_13,abiotic,1,99
north,md,t2,t2_13,biotic,0,100
north,md,t2,t2_13,macro,17,83
north,md,t2,t2_13,non-reef,10,90
north,md,t2,t2_13,plob,69,31
north,md,t2,t2_13,poci,1,99
north,md,t2,t2_13,turf,3,97
north,md,t2,t2_14,abiotic,0,100
north,md,t2,t2_14,biotic,0,100
north,md,t2,t2_14,macro,0,100
north,md,t2,t2_14,non-reef,2,98
north,md,t2,t2_14,plob,97,3
north,md,t2,t2_14,poci,0,100
north,md,t2,t2_14,turf,1,99
north,md,t2,t2_15,abiotic,0,100
north,md,t2,t2_15,biotic,0,100
north,md,t2,t2_15,macro,1,99
north,md,t2,t2_15,non-reef,9,91
north,md,t2,t2_15,plob,90,10
north,md,t2,t2_15,poci,0,100
north,md,t2,t2_15,turf,0,100
north,md,t2,t2_2,abiotic,0,100
north,md,t2,t2_2,biotic,0,100
north,md,t2,t2_2,macro,1,99
north,md,t2,t2_2,non-reef,4,96
north,md,t2,t2_2,plob,79,21
north,md,t2,t2_2,poci,5,95
north,md,t2,t2_2,turf,0,100
north,md,t2,t2_3,abiotic,11,89
north,md,t2,t2_3,biotic,0,100
north,md,t2,t2_3,macro,9,91
north,md,t2,t2_3,non-reef,7,93
north,md,t2,t2_3,plob,82,18
north,md,t2,t2_3,poci,0,100
