location,reef,depth,transect,photo,group,successes,failures
north,ana,sh,one,t1_1,abiotic,0,100
north,ana,sh,one,t1_1,biotic,0,100
north,ana,sh,one,t1_1,macro,2,98
north,ana,sh,one,t1_1,non-reef,12,88
north,ana,sh,one,t1_1,plob,85,15
north,ana,sh,one,t1_1,poci,0,100
north,ana,sh,one,t1_1,turf,1,99
north,ana,sh,one,t1_10,abiotic,0,100
north,ana,sh,one,t1_10,biotic,0,100
north,ana,sh,one,t1_10,macro,13,87
north,ana,sh,one,t1_10,non-reef,2,98
north,ana,sh,one,t1_10,plob,81,19
north,ana,sh,one,t1_10,poci,0,100
north,ana,sh,one,t1_10,turf,4,96
north,ana,sh,one,t1_11,abiotic,0,100
north,ana,sh,one,t1_11,biotic,0,100
north,ana,sh,one,t1_11,macro,8,92
north,ana,sh,one,t1_11,non-reef,4,96
north,ana,sh,one,t1_11,plob,81,19
north,ana,sh,one,t1_11,poci,0,100
north,ana,sh,one,t1_11,turf,7,93
north,ana,sh,one,t1_12,abiotic,0,100
north,ana,sh,one,t1_12,biotic,0,100
north,ana,sh,one,t1_12,macro,12,88
north,ana,sh,one,t1_12,non-reef,5,95
north,ana,sh,one,t1_12,plob,56,44
north,ana,sh,one,t1_12,poci,0,100
north,ana,sh,one,t1_12,turf,27,73
north,ana,sh,one,t1_13,abiotic,0,100
north,ana,sh,one,t1_13,biotic,0,100
north,ana,sh,one,t1_13,macro,15,85
north,ana,sh,one,t1_13,non-reef,7,93
north,ana,sh,one,t1_13,plob,68,32
north,ana,sh,one,t1_13,poci,0,100
north,ana,sh,one,t1_13,turf,10,90
north,ana,sh,one,t1_14,abiotic,0,100
north,ana,sh,one,t1_14,biotic,0,100
north,ana,sh,one,t1_14,macro,2,98
north,ana,sh,one,t1_14,non-reef,4,96
north,ana,sh,one,t1_14,plob,93,7
north,ana,sh,one,t1_14,poci,0,100
north,ana,sh,one,t1_14,turf,1,99
north,ana,sh,one,t1_15,abiotic,33,67
north,ana,sh,one,t1_15,biotic,0,100
north,ana,sh,one,t1_15,macro,1,99
north,ana,sh,one,t1_15,non-reef,4,96
north,ana,sh,one,t1_15,plob,57,43
north,ana,sh,one,t1_15,poci,0,100
north,ana,sh,one,t1_15,turf,5,95
north,ana,sh,one,t1_2,abiotic,0,100
north,ana,sh,one,t1_2,biotic,0,100
north,ana,sh,one,t1_2,macro,8,92
north,ana,sh,one,t1_2,non-reef,9,91
north,ana,sh,one,t1_2,plob,81,19
north,ana,sh,one,t1_2,poci,0,100
north,ana,sh,one,t1_2,turf,2,98
north,ana,sh,one,t1_3,abiotic,0,100
north,ana,sh,one,t1_3,biotic,0,100
north,ana,sh,one,t1_3,macro,9,91
north,ana,sh,one,t1_3,non-reef,4,96
north,ana,sh,one,t1_3,plob,82,18
north,ana,sh,one,t1_3,poci,0,100
north,ana,sh,one,t1_3,turf,5,95
north,ana,sh,one,t1_4,abiotic,2,98
north,ana,sh,one,t1_4,biotic,0,100
north,ana,sh,one,t1_4,macro,4,96
north,ana,sh,one,t1_4,non-reef,3,97
north,ana,sh,one,t1_4,plob,84,16
north,ana,sh,one,t1_4,poci,0,100
north,ana,sh,one,t1_4,turf,7,93
north,ana,sh,one,t1_5,abiotic,0,100
north,ana,sh,one,t1_5,biotic,8,92
north,ana,sh,one,t1_5,macro,4,96
north,ana,sh,one,t1_5,non-reef,76,24
north,ana,sh,one,t1_5,plob,0,100
north,ana,sh,one,t1_5,poci,0,100
north,ana,sh,one,t1_5,turf,12,88
north,ana,sh,one,t1_6,abiotic,0,100
north,ana,sh,one,t1_6,biotic,0,100
north,ana,sh,one,t1_6,macro,7,93
north,ana,sh,one,t1_6,non-reef,2,98
north,ana,sh,one,t1_6,plob,90,10
north,ana,sh,one,t1_6,poci,0,100
north,ana,sh,one,t1_6,turf,1,99
north,ana,sh,one,t1_7,abiotic,0,100
north,ana,sh,one,t1_7,biotic,0,100
north,ana,sh,one,t1_7,macro,1,99
north,ana,sh,one,t1_7,non-reef,5,95
north,ana,sh,one,t1_7,plob,94,6
north,ana,sh,one,t1_7,poci,0,100
north,ana,sh,one,t1_7,turf,0,100
north,ana,sh,one,t1_8,abiotic,0,100
north,ana,sh,one,t1_8,biotic,0,100
north,ana,sh,one,t1_8,macro,0,100
north,ana,sh,one,t1_8,non-reef,1,99
north,ana,sh,one,t1_8,plob,87,13
north,ana,sh,one,t1_8,poci,0,100
north,ana,sh,one,t1_8,turf,12,88
north,ana,sh,one,t1_9,abiotic,0,100
north,ana,sh,one,t1_9,biotic,0,100
north,ana,sh,one,t1_9,macro,12,88
north,ana,sh,one,t1_9,non-reef,2,98
north,ana,sh,one,t1_9,plob,71,29
north,ana,sh,one,t1_9,poci,0,100
north,ana,sh,one,t1_9,turf,15,85
north,ana,sh,two,t2_1,abiotic,0,100
north,ana,sh,two,t2_1,biotic,0,100
north,ana,sh,two,t2_1,macro,7,93
north,ana,sh,two,t2_1,non-reef,6,94
north,ana,sh,two,t2_1,plob,66,34
north,ana,sh,two,t2_1,poci,1,99
north,ana,sh,two,t2_1,turf,20,80
north,ana,sh,two,t2_10,abiotic,0,100
north,ana,sh,two,t2_10,biotic,0,100
north,ana,sh,two,t2_10,macro,1,99
north,ana,sh,two,t2_10,non-reef,2,98
north,ana,sh,two,t2_10,plob,89,11
north,ana,sh,two,t2_10,poci,0,100
north,ana,sh,two,t2_10,turf,8,92
north,ana,sh,two,t2_11,abiotic,5,95
north,ana,sh,two,t2_11,biotic,0,100
north,ana,sh,two,t2_11,macro,6,94
north,ana,sh,two,t2_11,non-reef,4,96
north,ana,sh,two,t2_11,plob,84,16
north,ana,sh,two,t2_11,poci,0,100
north,ana,sh,two,t2_11,turf,1,99
north,ana,sh,two,t2_12,abiotic,0,100
north,ana,sh,two,t2_12,biotic,0,100
north,ana,sh,two,t2_12,macro,13,87
north,ana,sh,two,t2_12,non-reef,3,97
north,ana,sh,two,t2_12,plob,56,44
north,ana,sh,two,t2_12,poci,0,100
north,ana,sh,two,t2_12,turf,28,72
north,ana,sh,two,t2_13,abiotic,0,100
north,ana,sh,two,t2_13,biotic,0,100
north,ana,sh,two,t2_13,macro,8,92
north,ana,sh,two,t2_13,non-reef,13,87
north,ana,sh,two,t2_13,plob,72,28
north,ana,sh,two,t2_13,poci,1,99
north,ana,sh,two,t2_13,turf,6,94
north,ana,sh,two,t2_14,abiotic,0,100
north,ana,sh,two,t2_14,biotic,0,100
north,ana,sh,two,t2_14,macro,11,89
north,ana,sh,two,t2_14,non-reef,78,22
north,ana,sh,two,t2_14,plob,0,100
north,ana,sh,two,t2_14,poci,0,100
north,ana,sh,two,t2_14,turf,11,89
north,ana,sh,two,t2_15,abiotic,1,99
north,ana,sh,two,t2_15,biotic,12,88
north,ana,sh,two,t2_15,macro,6,94
north,ana,sh,two,t2_15,non-reef,69,31
north,ana,sh,two,t2_15,plob,3,97
north,ana,sh,two,t2_15,poci,9,91
north,ana,sh,two,t2_15,turf,0,100
north,ana,sh,two,t2_2,abiotic,4,96
north,ana,sh,two,t2_2,biotic,0,100
north,ana,sh,two,t2_2,macro,0,100
north,ana,sh,two,t2_2,non-reef,7,93
north,ana,sh,two,t2_2,plob,85,15
north,ana,sh,two,t2_2,poci,0,100
north,ana,sh,two,t2_2,turf,4,96
north,ana,sh,two,t2_3,abiotic,0,100
north,ana,sh,two,t2_3,biotic,0,100
north,ana,sh,two,t2_3,macro,19,81
north,ana,sh,two,t2_3,non-reef,3,97
north,ana,sh,two,t2_3,plob,75,25
north,ana,sh,two,t2_3,poci,0,100
north,ana,sh,two,t2_3,turf,3,97
north,ana,sh,two,t2_4,abiotic,0,0
north,ana,sh,two,t2_4,biotic,0,0
north,ana,sh,two,t2_4,macro,3,97
north,ana,sh,two,t2_4,non-reef,5,95
north,ana,sh,two,t2_4,plob,82,18
north,ana,sh,two,t2_4,poci,0,0
north,ana,sh,two,t2_4,turf,10,90
north,ana,sh,two,t2_5,abiotic,0,0
north,ana,sh,two,t2_5,biotic,0,0
north,ana,sh,two,t2_5,macro,9,91
north,ana,sh,two,t2_5,non-reef,2,98
north,ana,sh,two,t2_5,plob,89,11
north,ana,sh,two,t2_5,poci,0,0
north,ana,sh,two,t2_5,turf,0,0
north,ana,sh,two,t2_5,abiotic,0,0
north,ana,sh,two,t2_6,biotic,0,0
north,ana,sh,two,t2_6,macro,6,94
north,ana,sh,two,t2_6,non-reef,4,96
north,ana,sh,two,t2_6,plob,89,11
north,ana,sh,two,t2_6,poci,0,0
north,ana,sh,two,t2_6,turf,1,99
north,ana,sh,two,t2_7,abiotic,5,95
north,ana,sh,two,t2_7,biotic,0,0
north,ana,sh,two,t2_7,macro,0,0
north,ana,sh,two,t2_7,non-reef,2,98
